theta0,theta1,bias
-0.5,-7.0,-11.06318
0.0,-7.0,-11.03965
0.5,-7.0,-10.97448
1.0,-7.0,-10.79921
1.5,-7.0,-10.35225
2.0,-7.0,-9.33869
2.5,-7.0,-7.53425
3.0,-7.0,-5.36747
3.5,-7.0,-3.71796
4.0,-7.0,-2.84618
4.5,-7.0,-2.47485
5.0,-7.0,-2.3357
5.5,-7.0,-2.29263
6.0,-7.0,-2.28961
6.5,-7.0,-2.30468
7.0,-7.0,-2.32814
7.5,-7.0,-2.35405
8.0,-7.0,-2.37812
8.5,-7.0,-2.39784
9.0,-7.0,-2.41251
9.5,-7.0,-2.4227
10.0,-7.0,-2.42943
-10.0,-6.5,-11.05212
-9.5,-6.5,-11.05212
-9.0,-6.5,-11.05212
-8.5,-6.5,-11.05212
-8.0,-6.5,-11.05212
-7.5,-6.5,-11.05212
-7.0,-6.5,-11.05213
-6.5,-6.5,-11.05213
-6.0,-6.5,-11.05214
-5.5,-6.5,-11.05215
-5.0,-6.5,-11.05217
-4.5,-6.5,-11.05219
-4.0,-6.5,-11.05223
-3.5,-6.5,-11.05228
-3.0,-6.5,-11.05233
-2.5,-6.5,-11.05229
-2.0,-6.5,-11.05192
-1.5,-6.5,-11.05049
-1.0,-6.5,-11.04592
-0.5,-6.5,-11.03238
0.0,-6.5,-10.99393
0.5,-6.5,-10.88808
1.0,-6.5,-10.60832
1.5,-6.5,-9.92578
2.0,-6.5,-8.52456
2.5,-6.5,-6.43758
3.0,-6.5,-4.44391
3.5,-6.5,-3.20157
4.0,-6.5,-2.62231
4.5,-6.5,-2.3929
