theta0,theta1,value
-7.5,-5.5,-25.319158738692202
-7.0,-5.5,-25.319158738692202
-6.5,-5.5,-25.319158738692202
-6.0,-5.5,-25.319158738692202
-5.5,-5.5,-25.319158738692202
-5.0,-5.5,-25.319158738692202
-4.5,-5.5,-25.319158738692202
-4.0,-5.5,-25.319158738692202
-3.5,-5.5,-25.319158738692202
-3.0,-5.5,-25.319158738692202
-2.5,-5.5,-25.319158738692202
-2.0,-5.5,-25.319158738692202
-1.5,-5.5,-25.319158738692202
-1.0,-5.5,-25.319158738692202
-0.5,-5.5,-25.319158738692202
0.0,-5.5,-25.319158738692202
0.5,-5.5,-25.319158738692202
1.0,-5.5,-25.319158738692202
1.5,-5.5,-25.319158738692202
2.0,-5.5,-25.319158738692202
2.5,-5.5,-25.319158738692202
3.0,-5.5,-25.319158738692202
3.5,-5.5,-25.319158738692202
4.0,-5.5,-25.319158738692202
4.5,-5.5,-25.319158738692202
5.0,-5.5,-25.319158738692202
5.5,-5.5,-25.319158738692202
6.0,-5.5,-25.319158738692202
6.5,-5.5,-25.319158738692202
7.0,-5.5,-25.319158738692202
7.5,-5.5,-25.319158738692202
8.0,-5.5,-25.319158738692202
8.5,-5.5,-25.319158738692202
9.0,-5.5,-25.319158738692202
9.5,-5.5,-25.319158738692202
10.0,-5.5,-25.319158738692202
-10.0,-5.0,-25.318239734176657
-9.5,-5.0,-25.318239734176657
-9.0,-5.0,-25.318239734176657
-8.5,-5.0,-25.318239734176657
-8.0,-5.0,-25.318239734176657
-7.5,-5.0,-25.318239734176657
-7.0,-5.0,-25.318239734176657
-6.5,-5.0,-25.318239734176657
-6.0,-5.0,-25.318239734176657
-5.5,-5.0,-25.318239734176657
-5.0,-5.0,-25.318239734176657
-4.5,-5.0,-25.318239734176657
-4.0,-5.0,-25.318239734176657
-3.5,-5.0,-25.318239734176657
-3.0,-5.0,-25.318239734176657
-2.5,-5.0,-25.318239734176657
-2.0,-5.0,-25.318239734176657
-1.5,-5.0,-25.318239734176657
-1.0,-5.0,-25.318239734176657
