theta0,theta1,bias
9.0,-3.5,15.71636
9.5,-3.5,15.71636
10.0,-3.5,15.71636
-10.0,-3.0,0.50044
-9.5,-3.0,0.50044
-9.0,-3.0,0.50044
-8.5,-3.0,0.50044
-8.0,-3.0,0.50044
-7.5,-3.0,0.50044
-7.0,-3.0,0.50044
-6.5,-3.0,0.50044
-6.0,-3.0,0.50044
-5.5,-3.0,0.50044
-5.0,-3.0,0.50044
-4.5,-3.0,0.50044
-4.0,-3.0,0.50044
-3.5,-3.0,0.50045
-3.0,-3.0,0.50053
-2.5,-3.0,0.50102
-2.0,-3.0,0.50352
-1.5,-3.0,0.51566
-1.0,-3.0,0.57238
-0.5,-3.0,0.82972
0.0,-3.0,1.91772
0.5,-3.0,5.5498
1.0,-3.0,11.52933
1.5,-3.0,14.57573
2.0,-3.0,15.51479
2.5,-3.0,15.86833
3.0,-3.0,16.00873
3.5,-3.0,16.06211
4.0,-3.0,16.0818
4.5,-3.0,16.08899
5.0,-3.0,16.09161
5.5,-3.0,16.09257
6.0,-3.0,16.09292
6.5,-3.0,16.09305
7.0,-3.0,16.0931
7.5,-3.0,16.09311
8.0,-3.0,16.09312
8.5,-3.0,16.09312
9.0,-3.0,16.09312
9.5,-3.0,16.09312
10.0,-3.0,16.09312
-10.0,-2.5,0.974
-9.5,-2.5,0.974
-9.0,-2.5,0.974
-8.5,-2.5,0.974
-8.0,-2.5,0.974
-7.5,-2.5,0.974
-7.0,-2.5,0.974
-6.5,-2.5,0.974
