theta0,theta1,bias
0.5,-5.5,-0.97816
1.0,-5.5,-0.95912
1.5,-5.5,-0.92841
2.0,-5.5,-0.87958
2.5,-5.5,-0.80359
3.0,-5.5,-0.68935
3.5,-5.5,-0.52632
4.0,-5.5,-0.31044
4.5,-5.5,-0.05194
5.0,-5.5,0.22167
5.5,-5.5,0.47479
6.0,-5.5,0.68077
6.5,-5.5,0.83155
7.0,-5.5,0.93384
7.5,-5.5,0.99995
8.0,-5.5,1.0415
8.5,-5.5,1.06719
9.0,-5.5,1.08296
9.5,-5.5,1.09258
10.0,-5.5,1.09843
-10.0,-5.0,-1.01338
-9.5,-5.0,-1.01338
-9.0,-5.0,-1.01338
-8.5,-5.0,-1.01338
-8.0,-5.0,-1.01338
-7.5,-5.0,-1.01337
-7.0,-5.0,-1.01336
-6.5,-5.0,-1.01334
-6.0,-5.0,-1.01331
-5.5,-5.0,-1.01326
-5.0,-5.0,-1.01318
-4.5,-5.0,-1.01305
-4.0,-5.0,-1.01283
-3.5,-5.0,-1.01247
-3.0,-5.0,-1.01187
-2.5,-5.0,-1.01089
-2.0,-5.0,-1.00928
-1.5,-5.0,-1.00662
-1.0,-5.0,-1.00225
-0.5,-5.0,-0.99509
0.0,-5.0,-0.98337
0.5,-5.0,-0.96431
1.0,-5.0,-0.93357
1.5,-5.0,-0.88467
2.0,-5.0,-0.80859
2.5,-5.0,-0.69422
3.0,-5.0,-0.53099
3.5,-5.0,-0.31484
4.0,-5.0,-0.05601
4.5,-5.0,0.21795
5.0,-5.0,0.47143
5.5,-5.0,0.67772
6.0,-5.0,0.82874
6.5,-5.0,0.93119
7.0,-5.0,0.99742
7.5,-5.0,1.03904
8.0,-5.0,1.06479
8.5,-5.0,1.08058
9.0,-5.0,1.09022
9.5,-5.0,1.09608
10.0,-5.0,1.09965
-10.0,-4.5,-1.02197
-9.5,-4.5,-1.02197
-9.0,-4.5,-1.02197
-8.5,-4.5,-1.02196
-8.0,-4.5,-1.02196
-7.5,-4.5,-1.02195
-7.0,-4.5,-1.02193
-6.5,-4.5,-1.0219
-6.0,-4.5,-1.02185
-5.5,-4.5,-1.02177
-5.0,-4.5,-1.02164
-4.5,-4.5,-1.02142
-4.0,-4.5,-1.02105
-3.5,-4.5,-1.02046
-3.0,-4.5,-1.01948
-2.5,-4.5,-1.01786
-2.0,-4.5,-1.0152
-1.5,-4.5,-1.01082
-1.0,-4.5,-1.00364
-0.5,-4.5,-0.9919
0.0,-4.5,-0.9728
0.5,-4.5,-0.942
1.0,-4.5,-0.89301
1.5,-4.5,-0.81679
2.0,-4.5,-0.70219
2.5,-4.5,-0.53864
3.0,-4.5,-0.32205
3.5,-4.5,-0.06269
4.0,-4.5,0.21188
4.5,-4.5,0.46594
5.0,-4.5,0.67273
5.5,-4.5,0.82413
6.0,-4.5,0.92687
6.5,-4.5,0.99328
7.0,-4.5,1.03502
7.5,-4.5,1.06085
8.0,-4.5,1.07669
8.5,-4.5,1.08635
9.0,-4.5,1.09224
9.5,-4.5,1.09582
10.0,-4.5,1.09799
-10.0,-4.0,-1.03597
-9.5,-4.0,-1.03597
-9.0,-4.0,-1.03596
-8.5,-4.0,-1.03596
-8.0,-4.0,-1.03594
-7.5,-4.0,-1.03593
-7.0,-4.0,-1.0359
-6.5,-4.0,-1.03585
-6.0,-4.0,-1.03577
-5.5,-4.0,-1.03563
-5.0,-4.0,-1.03541
-4.5,-4.0,-1.03505
-4.0,-4.0,-1.03445
-3.5,-4.0,-1.03347
-3.0,-4.0,-1.03184
-2.5,-4.0,-1.02917
-2.0,-4.0,-1.02478
-1.5,-4.0,-1.01758
-1.0,-4.0,-1.0058
-0.5,-4.0,-0.98665
0.0,-4.0,-0.95575
0.5,-4.0,-0.90661
1.0,-4.0,-0.83014
1.5,-4.0,-0.71519
2.0,-4.0,-0.55111
2.5,-4.0,-0.33381
3.0,-4.0,-0.07356
3.5,-4.0,0.20197
4.0,-4.0,0.45698
4.5,-4.0,0.66458
5.0,-4.0,0.81662
5.5,-4.0,0.91981
6.0,-4.0,0.98654
6.5,-4.0,1.02848
7.0,-4.0,1.05442
7.5,-4.0,1.07034
8.0,-4.0,1.08006
8.5,-4.0,1.08597
9.0,-4.0,1.08957
9.5,-4.0,1.09175
10.0,-4.0,1.09308
-10.0,-3.5,-1.05862
-9.5,-3.5,-1.05861
-9.0,-3.5,-1.05861
-8.5,-3.5,-1.0586
-8.0,-3.5,-1.05858
-7.5,-3.5,-1.05855
-7.0,-3.5,-1.0585
-6.5,-3.5,-1.05842
-6.0,-3.5,-1.05828
-5.5,-3.5,-1.05806
-5.0,-3.5,-1.0577
-4.5,-3.5,-1.0571
-4.0,-3.5,-1.05611
-3.5,-3.5,-1.05447
-3.0,-3.5,-1.05179
-2.5,-3.5,-1.04738
