theta0,theta1,bias
7.0,-4.5,5.98901
7.5,-4.5,5.98901
8.0,-4.5,5.98901
8.5,-4.5,5.98901
9.0,-4.5,5.98901
9.5,-4.5,5.98901
10.0,-4.5,5.98901
-10.0,-4.0,2.98201
-9.5,-4.0,2.98201
-9.0,-4.0,2.98201
-8.5,-4.0,2.98201
-8.0,-4.0,2.98201
-7.5,-4.0,2.98201
-7.0,-4.0,2.98201
-6.5,-4.0,2.98201
-6.0,-4.0,2.98201
-5.5,-4.0,2.98201
-5.0,-4.0,2.98201
-4.5,-4.0,2.98201
-4.0,-4.0,2.98201
-3.5,-4.0,2.98202
-3.0,-4.0,2.98202
-2.5,-4.0,2.98204
-2.0,-4.0,2.98215
-1.5,-4.0,2.98262
-1.0,-4.0,2.98475
-0.5,-4.0,2.99422
0.0,-4.0,3.03597
0.5,-4.0,3.20959
1.0,-4.0,3.78884
1.5,-4.0,4.84939
2.0,-4.0,5.62441
2.5,-4.0,5.89408
3.0,-4.0,5.96194
3.5,-4.0,5.97751
4.0,-4.0,5.98101
4.5,-4.0,5.98179
5.0,-4.0,5.98196
5.5,-4.0,5.982
6.0,-4.0,5.98201
6.5,-4.0,5.98201
7.0,-4.0,5.98201
7.5,-4.0,5.98201
8.0,-4.0,5.98201
8.5,-4.0,5.98201
9.0,-4.0,5.98201
9.5,-4.0,5.98201
10.0,-4.0,5.98201
-10.0,-3.5,2.97069
-9.5,-3.5,2.97069
-9.0,-3.5,2.97069
-8.5,-3.5,2.97069
-8.0,-3.5,2.97069
-7.5,-3.5,2.97069
-7.0,-3.5,2.97069
-6.5,-3.5,2.97069
-6.0,-3.5,2.97069
-5.5,-3.5,2.97069
-5.0,-3.5,2.97069
-4.5,-3.5,2.97069
-4.0,-3.5,2.97069
-3.5,-3.5,2.97069
-3.0,-3.5,2.9707
-2.5,-3.5,2.97074
-2.0,-3.5,2.97091
-1.5,-3.5,2.97169
-1.0,-3.5,2.97519
-0.5,-3.5,2.99077
0.0,-3.5,3.05862
0.5,-3.5,3.3283
1.0,-3.5,4.10331
1.5,-3.5,5.16386
2.0,-3.5,5.74311
2.5,-3.5,5.91673
3.0,-3.5,5.95848
3.5,-3.5,5.96795
4.0,-3.5,5.97008
4.5,-3.5,5.97055
5.0,-3.5,5.97066
5.5,-3.5,5.97068
6.0,-3.5,5.97069
6.5,-3.5,5.97069
7.0,-3.5,5.97069
7.5,-3.5,5.97069
8.0,-3.5,5.97069
8.5,-3.5,5.97069
9.0,-3.5,5.97069
