theta0,theta1,gain
-5.0,-0.5,1.60317
-4.5,-0.5,1.60313
-4.0,-0.5,1.60301
-3.5,-0.5,1.60267
-3.0,-0.5,1.60176
-2.5,-0.5,1.59927
-2.0,-0.5,1.59252
-1.5,-0.5,1.57444
-1.0,-0.5,1.52778
-0.5,-0.5,1.41755
0.0,-0.5,1.28811
0.5,-0.5,2.60334
1.0,-0.5,3.496
1.5,-0.5,3.63722
2.0,-0.5,3.66571
2.5,-0.5,3.6733
3.0,-0.5,3.67562
3.5,-0.5,3.67639
4.0,-0.5,3.67665
4.5,-0.5,3.67675
5.0,-0.5,3.67678
5.5,-0.5,3.67679
6.0,-0.5,3.6768
6.5,-0.5,3.6768
7.0,-0.5,3.6768
7.5,-0.5,3.6768
8.0,-0.5,3.6768
8.5,-0.5,3.6768
9.0,-0.5,3.6768
9.5,-0.5,3.6768
10.0,-0.5,3.6768
-10.0,0.0,1.6032
-9.5,0.0,1.6032
-9.0,0.0,1.6032
-8.5,0.0,1.6032
-8.0,0.0,1.6032
-7.5,0.0,1.6032
-7.0,0.0,1.6032
-6.5,0.0,1.6032
-6.0,0.0,1.60319
-5.5,0.0,1.60318
-5.0,0.0,1.60316
-4.5,0.0,1.60308
-4.0,0.0,1.60288
-3.5,0.0,1.60233
-3.0,0.0,1.60083
-2.5,0.0,1.59675
-2.0,0.0,1.58578
-1.5,0.0,1.55705
-1.0,0.0,1.4865
-0.5,0.0,1.33628
0.0,0.0,1.3125
0.5,0.0,2.94232
1.0,0.0,3.56474
1.5,0.0,3.6526
2.0,0.0,3.67005
2.5,0.0,3.67467
3.0,0.0,3.67608
3.5,0.0,3.67655
4.0,0.0,3.67671
4.5,0.0,3.67677
5.0,0.0,3.67679
5.5,0.0,3.6768
6.0,0.0,3.6768
6.5,0.0,3.6768
7.0,0.0,3.6768
7.5,0.0,3.6768
8.0,0.0,3.6768
8.5,0.0,3.6768
9.0,0.0,3.6768
9.5,0.0,3.6768
10.0,0.0,3.6768
-10.0,0.5,1.6032
-9.5,0.5,1.6032
-9.0,0.5,1.6032
-8.5,0.5,1.6032
-8.0,0.5,1.6032
-7.5,0.5,1.6032
-7.0,0.5,1.6032
-6.5,0.5,1.6032
-6.0,0.5,1.60319
-5.5,0.5,1.60317
-5.0,0.5,1.60313
-4.5,0.5,1.60301
-4.0,0.5,1.60267
-3.5,0.5,1.60176
-3.0,0.5,1.5993
-2.5,0.5,1.59263
-2.0,0.5,1.57497
-1.5,0.5,1.5303
-1.0,0.5,1.42839
-0.5,0.5,1.24103
0.0,0.5,1.47331
0.5,0.5,3.19725
1.0,0.5,3.60793
1.5,0.5,3.66205
2.0,0.5,3.6727
2.5,0.5,3.67551
3.0,0.5,3.67637
3.5,0.5,3.67665
4.0,0.5,3.67675
4.5,0.5,3.67678
5.0,0.5,3.67679
5.5,0.5,3.6768
6.0,0.5,3.6768
6.5,0.5,3.6768
7.0,0.5,3.6768
7.5,0.5,3.6768
8.0,0.5,3.6768
8.5,0.5,3.6768
9.0,0.5,3.6768
9.5,0.5,3.6768
10.0,0.5,3.6768
-10.0,1.0,1.6032
-9.5,1.0,1.6032
-9.0,1.0,1.6032
-8.5,1.0,1.6032
-8.0,1.0,1.6032
-7.5,1.0,1.6032
-7.0,1.0,1.6032
-6.5,1.0,1.60319
-6.0,1.0,1.60318
-5.5,1.0,1.60316
-5.0,1.0,1.60308
-4.5,1.0,1.60288
-4.0,1.0,1.60233
-3.5,1.0,1.60083
-3.0,1.0,1.59679
-2.5,1.0,1.58597
-2.0,1.0,1.55794
-1.5,1.0,1.49074
-1.0,1.0,1.35237
-0.5,1.0,1.14581
0.0,1.0,1.78507
0.5,1.0,3.3727
1.0,1.0,3.63469
1.5,1.0,3.66783
2.0,1.0,3.67431
2.5,1.0,3.67602
3.0,1.0,3.67654
3.5,1.0,3.67671
4.0,1.0,3.67677
4.5,1.0,3.67679
5.0,1.0,3.6768
5.5,1.0,3.6768
6.0,1.0,3.6768
6.5,1.0,3.6768
7.0,1.0,3.6768
7.5,1.0,3.6768
8.0,1.0,3.6768
8.5,1.0,3.6768
9.0,1.0,3.6768
9.5,1.0,3.6768
10.0,1.0,3.6768
-10.0,1.5,1.6032
-9.5,1.5,1.6032
-9.0,1.5,1.6032
-8.5,1.5,1.6032
-8.0,1.5,1.6032
-7.5,1.5,1.6032
-7.0,1.5,1.6032
-6.5,1.5,1.60319
-6.0,1.5,1.60317
-5.5,1.5,1.60313
-5.0,1.5,1.60301
-4.5,1.5,1.60267
-4.0,1.5,1.60177
-3.5,1.5,1.59931
-3.0,1.5,1.5927
-2.5,1.5,1.57529
-2.0,1.5,1.53181
-1.5,1.5,1.43544
-1.0,1.5,1.26163
-0.5,1.5,1.07405
0.0,1.5,2.18912
0.5,1.5,3.48735
1.0,1.5,3.65113
1.5,1.5,3.67135
2.0,1.5,3.67529
2.5,1.5,3.67632
3.0,1.5,3.67664
3.5,1.5,3.67674
4.0,1.5,3.67678
4.5,1.5,3.67679
5.0,1.5,3.6768
