method_name,seed,tuning_samples,learning_samples,total_samples
discounted_vanilla_exact,50,160,2,162
discounted_vanilla_exact,51,160,2,162
discounted_vanilla_exact,52,160,2,162
discounted_vanilla_exact,53,160,2,162
discounted_vanilla_exact,54,160,2,162
discounted_vanilla_exact,55,160,2,162
discounted_vanilla_exact,56,160,2,162
discounted_vanilla_exact,57,160,2,162
discounted_vanilla_exact,58,160,2,162
discounted_vanilla_exact,59,160,2,162
discounted_vanilla_exact,60,160,2,162
discounted_vanilla_exact,61,160,2,162
discounted_vanilla_exact,62,160,2,162
discounted_vanilla_exact,63,160,2,162
discounted_vanilla_exact,64,160,2,162
discounted_vanilla_exact,65,160,2,162
discounted_vanilla_exact,66,160,2,162
discounted_vanilla_exact,67,160,2,162
discounted_vanilla_exact,68,160,2,162
discounted_vanilla_exact,69,160,2,162
discounted_vanilla_exact,70,160,2,162
discounted_vanilla_exact,71,160,2,162
discounted_vanilla_exact,72,160,2,162
discounted_vanilla_exact,73,160,2,162
discounted_vanilla_exact,74,160,2,162
discounted_vanilla_exact,75,160,2,162
discounted_vanilla_exact,76,160,2,162
discounted_vanilla_exact,77,160,2,162
discounted_vanilla_exact,78,160,2,162
discounted_vanilla_exact,79,160,2,162
discounted_vanilla_exact,80,160,2,162
discounted_vanilla_exact,81,160,2,162
discounted_vanilla_exact,82,160,2,162
discounted_vanilla_exact,83,160,2,162
discounted_vanilla_exact,84,160,2,162
discounted_vanilla_exact,85,160,2,162
discounted_vanilla_exact,86,160,2,162
discounted_vanilla_exact,87,160,2,162
discounted_vanilla_exact,88,160,2,162
discounted_vanilla_exact,89,160,2,162
discounted_vanilla_exact,90,160,2,162
discounted_vanilla_exact,91,160,2,162
discounted_vanilla_exact,92,160,2,162
discounted_vanilla_exact,93,160,2,162
discounted_vanilla_exact,94,160,2,162
discounted_vanilla_exact,95,160,2,162
discounted_vanilla_exact,96,160,2,162
discounted_vanilla_exact,97,160,2,162
discounted_vanilla_exact,98,160,2,162
discounted_vanilla_exact,99,160,2,162
discounted_vanilla_exact,100,160,2,162
discounted_vanilla_exact,101,160,2,162
discounted_vanilla_exact,102,160,2,162
discounted_vanilla_exact,103,160,2,162
discounted_vanilla_exact,104,160,2,162
discounted_vanilla_exact,105,160,2,162
discounted_vanilla_exact,106,160,2,162
discounted_vanilla_exact,107,160,2,162
discounted_vanilla_exact,108,160,2,162
discounted_vanilla_exact,109,160,2,162
discounted_vanilla_exact,110,160,2,162
discounted_vanilla_exact,111,160,2,162
discounted_vanilla_exact,112,160,2,162
