method_name,seed,tuning_samples,learning_samples,total_samples
discounting_free_natural_exact,120,0,9,9
discounting_free_natural_exact,121,0,9,9
discounting_free_natural_exact,122,0,9,9
discounting_free_natural_exact,123,0,9,9
discounting_free_natural_exact,124,0,9,9
discounting_free_natural_exact,125,0,9,9
discounting_free_natural_exact,126,0,9,9
discounting_free_natural_exact,127,0,9,9
discounting_free_natural_exact,128,0,9,9
discounting_free_natural_exact,129,0,9,9
discounting_free_natural_exact,130,0,9,9
discounting_free_natural_exact,131,0,9,9
discounting_free_natural_exact,132,0,9,9
discounting_free_natural_exact,133,0,9,9
discounting_free_natural_exact,134,0,9,9
discounting_free_natural_exact,135,0,9,9
discounting_free_natural_exact,136,0,9,9
discounting_free_natural_exact,137,0,9,9
discounting_free_natural_exact,138,0,9,9
discounting_free_natural_exact,139,0,9,9
discounting_free_natural_exact,140,0,9,9
discounting_free_natural_exact,141,0,9,9
discounting_free_natural_sampling,42,0,1872,1872
discounting_free_natural_sampling,43,0,1488,1488
discounting_free_natural_sampling,44,0,2320,2320
discounting_free_natural_sampling,45,0,1920,1920
discounting_free_natural_sampling,46,0,1856,1856
discounting_free_natural_sampling,47,0,1872,1872
discounting_free_natural_sampling,48,0,1872,1872
discounting_free_natural_sampling,49,0,1920,1920
discounting_free_natural_sampling,50,0,1872,1872
discounting_free_natural_sampling,51,0,2672,2672
discounting_free_natural_sampling,52,0,2304,2304
discounting_free_natural_sampling,53,0,1920,1920
discounting_free_natural_sampling,54,0,1904,1904
discounting_free_natural_sampling,55,0,1872,1872
discounting_free_natural_sampling,56,0,1920,1920
discounting_free_natural_sampling,57,0,1904,1904
discounting_free_natural_sampling,58,0,2304,2304
discounting_free_natural_sampling,59,0,1920,1920
discounting_free_natural_sampling,60,0,2288,2288
discounting_free_natural_sampling,61,0,1872,1872
discounting_free_natural_sampling,62,0,2320,2320
discounting_free_natural_sampling,63,0,3072,3072
discounting_free_natural_sampling,64,0,2320,2320
discounting_free_natural_sampling,65,0,1920,1920
discounting_free_natural_sampling,66,0,2320,2320
discounting_free_natural_sampling,67,0,1936,1936
discounting_free_natural_sampling,68,0,1888,1888
discounting_free_natural_sampling,69,0,2288,2288
discounting_free_natural_sampling,70,0,1920,1920
discounting_free_natural_sampling,71,0,1472,1472
discounting_free_natural_sampling,72,0,1872,1872
discounting_free_natural_sampling,73,0,1904,1904
discounting_free_natural_sampling,74,0,2256,2256
discounting_free_natural_sampling,75,0,2272,2272
discounting_free_natural_sampling,76,0,1872,1872
discounting_free_natural_sampling,77,0,1488,1488
discounting_free_natural_sampling,78,0,2304,2304
discounting_free_natural_sampling,79,0,1872,1872
discounting_free_natural_sampling,80,0,1520,1520
discounting_free_natural_sampling,81,0,2288,2288
discounting_free_natural_sampling,82,0,1872,1872
discounting_free_natural_sampling,83,0,1920,1920
discounting_free_natural_sampling,84,0,2272,2272
discounting_free_natural_sampling,85,0,1872,1872
discounting_free_natural_sampling,86,0,1520,1520
discounting_free_natural_sampling,87,0,1920,1920
discounting_free_natural_sampling,88,0,1872,1872
discounting_free_natural_sampling,89,0,1856,1856
discounting_free_natural_sampling,90,0,1872,1872
discounting_free_natural_sampling,91,0,1920,1920
