theta0,theta1,value
9.5,-8.0,-4.8930126529361155
10.0,-8.0,-4.8930126529361155
-10.0,-7.5,-4.892979168691302
-9.5,-7.5,-4.892979168691302
-9.0,-7.5,-4.892979168691302
-8.5,-7.5,-4.892979168691302
-8.0,-7.5,-4.892979168691302
-7.5,-7.5,-4.892979168691302
-7.0,-7.5,-4.892979168691302
-6.5,-7.5,-4.892979168691302
-6.0,-7.5,-4.892979168691302
-5.5,-7.5,-4.892979168691302
-5.0,-7.5,-4.892979168691302
-4.5,-7.5,-4.892979168691302
-4.0,-7.5,-4.892979168691302
-3.5,-7.5,-4.892979168691302
-3.0,-7.5,-4.892979168691302
-2.5,-7.5,-4.892979168691302
-2.0,-7.5,-4.892979168691302
-1.5,-7.5,-4.892979168691302
-1.0,-7.5,-4.892979168691302
-0.5,-7.5,-4.892979168691302
0.0,-7.5,-4.892979168691302
0.5,-7.5,-4.892979168691302
1.0,-7.5,-4.892979168691302
1.5,-7.5,-4.892979168691302
2.0,-7.5,-4.892979168691302
2.5,-7.5,-4.892979168691302
3.0,-7.5,-4.892979168691302
3.5,-7.5,-4.892979168691302
4.0,-7.5,-4.892979168691302
4.5,-7.5,-4.892979168691302
5.0,-7.5,-4.892979168691302
5.5,-7.5,-4.892979168691302
6.0,-7.5,-4.892979168691302
6.5,-7.5,-4.892979168691302
7.0,-7.5,-4.892979168691302
7.5,-7.5,-4.892979168691302
8.0,-7.5,-4.892979168691302
8.5,-7.5,-4.892979168691302
9.0,-7.5,-4.892979168691302
9.5,-7.5,-4.892979168691302
10.0,-7.5,-4.892979168691302
-10.0,-7.0,-4.892923979408536
-9.5,-7.0,-4.892923979408536
-9.0,-7.0,-4.892923979408536
-8.5,-7.0,-4.892923979408536
-8.0,-7.0,-4.892923979408536
-7.5,-7.0,-4.892923979408536
-7.0,-7.0,-4.892923979408536
-6.5,-7.0,-4.892923979408536
-6.0,-7.0,-4.892923979408536
-5.5,-7.0,-4.892923979408536
-5.0,-7.0,-4.892923979408536
-4.5,-7.0,-4.892923979408536
-4.0,-7.0,-4.892923979408536
-3.5,-7.0,-4.892923979408536
-3.0,-7.0,-4.892923979408536
-2.5,-7.0,-4.892923979408536
-2.0,-7.0,-4.892923979408536
-1.5,-7.0,-4.892923979408536
-1.0,-7.0,-4.892923979408536
-0.5,-7.0,-4.892923979408536
0.0,-7.0,-4.892923979408536
0.5,-7.0,-4.892923979408536
1.0,-7.0,-4.892923979408536
1.5,-7.0,-4.892923979408536
2.0,-7.0,-4.892923979408536
2.5,-7.0,-4.892923979408536
3.0,-7.0,-4.892923979408536
3.5,-7.0,-4.892923979408536
4.0,-7.0,-4.892923979408536
4.5,-7.0,-4.892923979408536
5.0,-7.0,-4.892923979408536
5.5,-7.0,-4.892923979408536
6.0,-7.0,-4.892923979408536
6.5,-7.0,-4.892923979408536
7.0,-7.0,-4.892923979408536
7.5,-7.0,-4.892923979408536
8.0,-7.0,-4.892923979408536
8.5,-7.0,-4.892923979408536
9.0,-7.0,-4.892923979408536
9.5,-7.0,-4.892923979408536
10.0,-7.0,-4.892923979408536
-10.0,-6.5,-4.892833033585161
-9.5,-6.5,-4.892833033585161
-9.0,-6.5,-4.892833033585161
-8.5,-6.5,-4.892833033585161
-8.0,-6.5,-4.892833033585161
-7.5,-6.5,-4.892833033585161
-7.0,-6.5,-4.892833033585161
-6.5,-6.5,-4.892833033585161
-6.0,-6.5,-4.892833033585161
-5.5,-6.5,-4.892833033585161
-5.0,-6.5,-4.892833033585161
-4.5,-6.5,-4.892833033585161
-4.0,-6.5,-4.892833033585161
-3.5,-6.5,-4.892833033585161
-3.0,-6.5,-4.892833033585161
-2.5,-6.5,-4.892833033585161
-2.0,-6.5,-4.892833033585161
-1.5,-6.5,-4.892833033585161
-1.0,-6.5,-4.892833033585161
-0.5,-6.5,-4.892833033585161
0.0,-6.5,-4.892833033585161
0.5,-6.5,-4.892833033585161
1.0,-6.5,-4.892833033585161
1.5,-6.5,-4.892833033585161
2.0,-6.5,-4.892833033585161
2.5,-6.5,-4.892833033585161
3.0,-6.5,-4.892833033585161
3.5,-6.5,-4.892833033585161
4.0,-6.5,-4.892833033585161
4.5,-6.5,-4.892833033585161
5.0,-6.5,-4.892833033585161
5.5,-6.5,-4.892833033585161
