seed,method_name,gamma_used,iteration,metric_value,env_name,experiment_type
43,discounting_free_vanilla_exact,avg,111,29.69804304163103,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,112,29.698146072337384,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,113,29.69824740036298,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,114,29.698347067899928,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,115,29.698445115748456,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,116,29.698541583374208,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,117,29.698636508962636,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,118,29.698729929470908,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,119,29.69882188067706,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,120,29.69891239722708,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,121,29.699001512679366,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,122,29.69908925954751,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,123,29.6991756693408,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,124,29.699260772602827,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,125,29.69934459894855,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,126,29.699427177099373,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,127,29.69950853491686,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,128,29.699588699434816,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,129,29.69966769688986,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,130,29.69974555275092,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,0,17.722796226859078,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,1,28.279104485701147,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,2,28.628992364474527,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,3,29.29937215476959,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,4,29.43160232569418,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,5,29.496177878460458,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,6,29.53510951457904,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,7,29.561294858325578,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,8,29.580162966805226,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,9,29.594427809862875,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,10,29.605605428502233,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,11,29.61461167180435,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,12,29.622033078630906,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,13,29.628262711837937,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,14,29.63357372937321,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,15,29.638161726874944,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,16,29.64217033227942,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,17,29.64570731449122,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,18,29.64885507044413,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,19,29.65167765133455,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,20,29.654225588062978,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,21,29.656539277549996,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,22,29.658651404855846,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,23,29.660588705358876,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,24,29.662373266593207,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,25,29.66402350347246,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,26,29.665554898193186,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,27,29.666980568204657,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,28,29.668311706936002,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,29,29.669557929235065,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,30,29.670727544661315,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,31,29.671827775595617,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,32,29.6728649327361,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,33,29.673844557391973,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,34,29.67477153769047,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,35,29.675650204124324,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,36,29.676484408616126,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,37,29.67727759033872,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,38,29.678032830822694,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,39,29.678752900343984,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,40,29.679440297170824,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,41,29.68009728093008,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,42,29.680725901104353,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,43,29.68132802147665,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,44,29.681905341185477,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,45,29.68245941293209,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,46,29.68299165878371,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,47,29.683503383939502,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,48,29.683995788762306,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,49,29.68446997932889,env-b2,discounting_free
44,discounting_free_vanilla_exact,avg,50,29.68492697670991,env-b2,discounting_free
