theta0,theta1,gain
-9.5,-3.5,3.99999
-9.0,-3.5,3.99998
-8.5,-3.5,3.99998
-8.0,-3.5,3.99996
-7.5,-3.5,3.99993
-7.0,-3.5,3.99989
-6.5,-3.5,3.99982
-6.0,-3.5,3.9997
-5.5,-3.5,3.9995
-5.0,-3.5,3.99918
-4.5,-3.5,3.99865
-4.0,-3.5,3.99777
-3.5,-3.5,3.99633
-3.0,-3.5,3.99396
-2.5,-3.5,3.99005
-2.0,-3.5,3.98363
-1.5,-3.5,3.97312
-1.0,-3.5,3.95597
-0.5,-3.5,3.92817
0.0,-3.5,3.8836
0.5,-3.5,3.81333
1.0,-3.5,3.70551
1.5,-3.5,3.54671
2.0,-3.5,3.32639
2.5,-3.5,3.0448
3.0,-3.5,2.72033
3.5,-3.5,2.38828
4.0,-3.5,2.08723
4.5,-3.5,1.84284
5.0,-3.5,1.66163
5.5,-3.5,1.53609
6.0,-3.5,1.45316
6.5,-3.5,1.40009
7.0,-3.5,1.3668
7.5,-3.5,1.3462
8.0,-3.5,1.33354
8.5,-3.5,1.3258
9.0,-3.5,1.32109
9.5,-3.5,1.31822
10.0,-3.5,1.31648
-10.0,-3.0,3.99999
-9.5,-3.0,3.99998
-9.0,-3.0,3.99998
-8.5,-3.0,3.99996
-8.0,-3.0,3.99993
-7.5,-3.0,3.99989
-7.0,-3.0,3.99982
-6.5,-3.0,3.9997
-6.0,-3.0,3.9995
-5.5,-3.0,3.99918
-5.0,-3.0,3.99864
-4.5,-3.0,3.99776
-4.0,-3.0,3.99631
-3.5,-3.0,3.99393
-3.0,-3.0,3.99
-2.5,-3.0,3.98356
-2.0,-3.0,3.973
-1.5,-3.0,3.95577
-1.0,-3.0,3.92785
-0.5,-3.0,3.88307
0.0,-3.0,3.81249
0.5,-3.0,3.70419
1.0,-3.0,3.54467
1.5,-3.0,3.32336
2.0,-3.0,3.0405
2.5,-3.0,2.71458
3.0,-3.0,2.38103
3.5,-3.0,2.07863
4.0,-3.0,1.83314
4.5,-3.0,1.65112
5.0,-3.0,1.52502
5.5,-3.0,1.44171
6.0,-3.0,1.3884
6.5,-3.0,1.35496
7.0,-3.0,1.33427
7.5,-3.0,1.32155
8.0,-3.0,1.31378
8.5,-3.0,1.30905
9.0,-3.0,1.30617
9.5,-3.0,1.30442
10.0,-3.0,1.30336
-10.0,-2.5,3.99998
-9.5,-2.5,3.99997
-9.0,-2.5,3.99996
-8.5,-2.5,3.99993
-8.0,-2.5,3.99989
-7.5,-2.5,3.99981
